IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,49330,10.215.173.2,53,10044,Free Fire MAX,com.dts.freefiremax,DNS,Closed,jncgkt.launches.appsflyersdk.com,78,142,1,1,2026-08-17T16:13:50.599+05:30,2026-08-17T16:13:50.635+05:30
6,10.215.173.1,39106,13.225.103.64,443,10044,Free Fire MAX,com.dts.freefiremax,HTTPS,Closed,jncgkt.launches.appsflyersdk.com,3163,5862,8,7,2026-08-17T16:13:50.729+05:30,2026-08-17T16:13:51.573+05:30
17,10.215.173.1,24726,10.215.173.2,53,10044,Free Fire MAX,com.dts.freefiremax,DNS,Closed,cdp.cloud.unity3d.com,67,162,1,1,2026-08-17T16:13:51.024+05:30,2026-08-17T16:13:51.065+05:30
17,10.215.173.1,34522,10.215.173.2,53,10044,Free Fire MAX,com.dts.freefiremax,DNS,Closed,cdp.cloud.unity3d.com,67,228,1,1,2026-08-17T16:13:51.044+05:30,2026-08-17T16:13:51.129+05:30
6,10.215.173.1,59746,34.107.172.168,443,10044,Free Fire MAX,com.dts.freefiremax,HTTPS,Closed,cdp.cloud.unity3d.com,4384,5893,16,11,2026-08-17T16:13:51.492+05:30,2026-08-17T16:14:11.313+05:30
17,10.215.173.1,49500,10.215.173.2,53,10044,Free Fire MAX,com.dts.freefiremax,DNS,Closed,indevent.ggblueshark.com,70,154,1,1,2026-08-17T16:13:51.595+05:30,2026-08-17T16:13:51.691+05:30
17,10.215.173.1,39233,10.215.173.2,53,10044,Free Fire MAX,com.dts.freefiremax,DNS,Closed,indevent.ggblueshark.com,70,390,1,1,2026-08-17T16:13:51.623+05:30,2026-08-17T16:13:51.708+05:30
1,10.215.173.1,8642,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:51.698+05:30,2026-08-17T16:13:51.774+05:30
1,10.215.173.1,8643,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:51.701+05:30,2026-08-17T16:13:51.761+05:30
6,10.215.173.1,57846,202.181.79.14,443,10044,Free Fire MAX,com.dts.freefiremax,HTTPS,Closed,indevent.ggblueshark.com,28097,6800,42,29,2026-08-17T16:13:51.726+05:30,2026-08-17T16:14:08.343+05:30
1,10.215.173.1,8646,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:51.954+05:30,2026-08-17T16:13:52.011+05:30
1,10.215.173.1,8648,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:51.966+05:30,2026-08-17T16:13:52.001+05:30
17,10.215.173.1,24931,10.215.173.2,53,10044,Free Fire MAX,com.dts.freefiremax,DNS,Closed,version.ffmax.purplevioleto.com,77,317,1,1,2026-08-17T16:13:52.535+05:30,2026-08-17T16:13:52.582+05:30
17,10.215.173.1,34827,103.123.54.61,10012,10044,Free Fire MAX,com.dts.freefiremax,UDP,Closed,,53253,139300,768,765,2026-08-17T16:13:52.590+05:30,2026-08-17T16:14:06.028+05:30
1,10.215.173.1,8650,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:52.603+05:30,2026-08-17T16:13:52.657+05:30
1,10.215.173.1,8651,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:52.607+05:30,2026-08-17T16:13:52.634+05:30
1,10.215.173.1,8654,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:52.686+05:30,2026-08-17T16:13:52.741+05:30
1,10.215.173.1,8656,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:52.703+05:30,2026-08-17T16:13:52.733+05:30
6,10.215.173.1,40688,35.240.150.223,39698,10044,Free Fire MAX,com.dts.freefiremax,TCP,Closed,,8912,27654,25,23,2026-08-17T16:13:52.776+05:30,2026-08-17T16:14:09.074+05:30
6,10.215.173.1,38748,34.21.248.22,39800,10044,Free Fire MAX,com.dts.freefiremax,TCP,Closed,,1594,1073,15,13,2026-08-17T16:13:52.783+05:30,2026-08-17T16:14:11.599+05:30
1,10.215.173.1,8658,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:52.788+05:30,2026-08-17T16:13:52.837+05:30
1,10.215.173.1,8660,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:13:52.791+05:30,2026-08-17T16:13:52.828+05:30
17,10.215.173.1,62585,10.215.173.2,53,10044,Free Fire MAX,com.dts.freefiremax,DNS,Closed,client.ind.freefiremobile.com,75,156,1,1,2026-08-17T16:14:07.228+05:30,2026-08-17T16:14:07.261+05:30
17,10.215.173.1,14963,10.215.173.2,53,10044,Free Fire MAX,com.dts.freefiremax,DNS,Closed,client.ind.freefiremobile.com,75,395,1,1,2026-08-17T16:14:07.229+05:30,2026-08-17T16:14:07.267+05:30
6,10.215.173.1,37672,148.222.69.151,443,10044,Free Fire MAX,com.dts.freefiremax,HTTPS,Closed,client.ind.freefiremobile.com,3358,5123,14,10,2026-08-17T16:14:07.272+05:30,2026-08-17T16:14:07.977+05:30
6,10.215.173.1,37674,148.222.69.151,443,10044,Free Fire MAX,com.dts.freefiremax,HTTPS,Closed,client.ind.freefiremobile.com,3358,5086,14,10,2026-08-17T16:14:07.274+05:30,2026-08-17T16:14:07.956+05:30
1,10.215.173.1,8662,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:07.386+05:30,2026-08-17T16:14:07.447+05:30
1,10.215.173.1,8664,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:07.596+05:30,2026-08-17T16:14:07.631+05:30
1,10.215.173.1,8666,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:07.874+05:30,2026-08-17T16:14:07.956+05:30
1,10.215.173.1,8667,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:07.885+05:30,2026-08-17T16:14:07.955+05:30
1,10.215.173.1,8670,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:07.990+05:30,2026-08-17T16:14:08.044+05:30
1,10.215.173.1,8672,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:08.015+05:30,2026-08-17T16:14:08.059+05:30
1,10.215.173.1,8674,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:08.103+05:30,2026-08-17T16:14:08.162+05:30
1,10.215.173.1,8676,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:08.115+05:30,2026-08-17T16:14:08.143+05:30
1,10.215.173.1,8678,103.219.200.106,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:08.194+05:30,2026-08-17T16:14:08.254+05:30
1,10.215.173.1,8680,103.123.54.62,0,-1,Unknown,unknown,ICMP,Closed,,84,84,1,1,2026-08-17T16:14:08.204+05:30,2026-08-17T16:14:08.238+05:30
